trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 0.999}",30,0,-107.05309246953024,"{0: 23, 1: 2, 2: 2, 3: 1, 4: 2}",0
2,False,"{'a': 0.75, 'e': 0.998001}",25,0,-123.00881863261141,"{0: 17, 1: 0, 2: 4, 3: 3, 4: 1}",0
3,False,"{'a': 0.75, 'e': 0.997002999}",35,0,-173.2823158602763,"{0: 21, 1: 3, 2: 8, 3: 1, 4: 2}",0
4,False,"{'a': 0.75, 'e': 0.996005996001}",20,0,-125.8051807995546,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
5,False,"{'a': 0.75, 'e': 0.995009990004999}",25,0,-101.87668710449756,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.75, 'e': 0.994014980014994}",25,0,-153.70109269583892,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
7,False,"{'a': 0.75, 'e': 0.993020965034979}",20,0,-24.50324016380006,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
8,False,"{'a': 0.75, 'e': 0.992027944069944}",20,0,-93.33396745442603,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.75, 'e': 0.991035916125874}",35,0,-137.7323662749617,"{0: 19, 1: 9, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.75, 'e': 0.9900448802097482}",20,0,-95.16957953433699,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.75, 'e': 0.9890548353295384}",25,0,-66.41531449469011,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
12,False,"{'a': 0.75, 'e': 0.9880657804942089}",20,0,-81.47902257968468,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
13,False,"{'a': 0.75, 'e': 0.9870777147137147}",30,0,-158.35998062906177,"{0: 15, 1: 3, 2: 10, 3: 1, 4: 1}",0
14,False,"{'a': 0.75, 'e': 0.986090636999001}",20,0,-242.6080671354546,"{0: 8, 1: 3, 2: 4, 3: 0, 4: 5}",0
15,False,"{'a': 0.75, 'e': 0.985104546362002}",20,0,-34.92369230884441,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
16,False,"{'a': 0.75, 'e': 0.9841194418156399}",20,0,-114.28443122127229,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
17,False,"{'a': 0.75, 'e': 0.9831353223738244}",30,0,-245.971236877718,"{0: 15, 1: 3, 2: 7, 3: 1, 4: 4}",0
18,False,"{'a': 0.75, 'e': 0.9821521870514505}",30,0,-198.3965465829542,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
19,False,"{'a': 0.75, 'e': 0.981170034864399}",20,0,-107.10745475633342,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
20,False,"{'a': 0.75, 'e': 0.9801888648295347}",20,0,-229.1290764439806,"{0: 9, 1: 1, 2: 3, 3: 4, 4: 3}",0
21,False,"{'a': 0.75, 'e': 0.9792086759647052}",20,0,-67.70803352387587,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
22,False,"{'a': 0.75, 'e': 0.9782294672887404}",35,0,-177.76803424815802,"{0: 20, 1: 4, 2: 8, 3: 1, 4: 2}",0
23,False,"{'a': 0.75, 'e': 0.9772512378214517}",25,0,-97.89375045410762,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
