trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-48.36771278605584,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-37.10030229756568,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-31.071923022715502,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-24.980232711012288,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-35.90502993234867,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-32.26435725201026,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-29.794285403494708,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.15782687222725,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-66.8108298447801,"{0: 10, 1: 15, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-68.98668669090317,"{0: 13, 1: 17, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-29.28855494418058,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-25.921612266471907,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-53.82374813264333,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-52.98943128924338,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-37.65690328762031,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-25.971612005618468,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-41.170178835228114,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.491986995187894,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-62.75262805190437,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-29.847343852918318,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-58.75012960711451,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-42.769855210388634,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-43.972568825619454,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-37.569098468055614,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-37.454741286240974,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-35.50413764331542,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-31.29664209628137,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-28.42066788661492,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-43.75574646239665,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-40.29586587551626,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
