trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.8775825618903728}",25,0,-140.52512183674847,"{0: 10, 1: 4, 2: 9, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.5403023058681397}",20,13,-15.557229364721842,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.0707372016677029}",30,0,-139.7924056899105,"{0: 18, 1: 5, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': -0.4161468365471424}",25,0,-230.6464335810715,"{0: 13, 1: 3, 2: 3, 3: 2, 4: 4}",0
5,False,"{'a': 0.5, 'e': -0.8011436155469337}",30,0,-143.01183177301925,"{0: 20, 1: 4, 2: 2, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': -0.9899924966004454}",25,0,-53.13753655118477,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': -0.9364566872907963}",20,0,-147.11216036205525,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': -0.6536436208636119}",20,0,-153.31396061490048,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': -0.2107957994307797}",35,0,-288.4933961350808,"{0: 16, 1: 5, 2: 8, 3: 2, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.28366218546322625}",25,0,-86.84469897323883,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.70866977429126}",25,0,-168.00241199327152,"{0: 10, 1: 2, 2: 11, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.960170286650366}",25,0,-134.7340587630987,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9765876257280235}",30,0,-177.35826851655526,"{0: 15, 1: 5, 2: 7, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.7539022543433046}",20,2,-135.24996458707224,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 3}",1
15,False,"{'a': 0.5, 'e': 0.3466353178350258}",30,0,-108.12434318146575,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': -0.14550003380861354}",30,0,-47.37054758133901,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': -0.6020119026848236}",20,0,-158.0647493343223,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': -0.9111302618846769}",30,5,-126.62823986842434,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",1
19,False,"{'a': 0.5, 'e': -0.9971721561963784}",20,0,-84.87484642255733,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -0.8390715290764524}",30,0,-163.41262846014405,"{0: 17, 1: 5, 2: 4, 3: 2, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-60.60366140473879,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,-51.496903231216045,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-65.54420393178754,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-67.98125921930313,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",30,0,-246.86541079946116,"{0: 15, 1: 4, 2: 6, 3: 1, 4: 4}",0
6,True,"{'a': 0, 'e': 0}",30,0,-187.55665638475287,"{0: 16, 1: 1, 2: 10, 3: 1, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,0,-49.66439726236986,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",30,0,-126.64978749048029,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,0,-64.11239582351791,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-95.71413733385356,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
